Word,SemD
on,6.610807411063485
a,6.572016464998599
me,6.515385548721199
he,6.508445913834563
no,6.497820510664539
but,6.4820123986673
to,6.473425227307728
for,6.470531050688471
at,6.47004805059448
have,6.463213760908984
in,6.462729330465781
of,6.45908587823579
the,6.45835893399077
and,6.455101296020242
was,6.454582020665332
as,6.4541598808133465
that,6.453153183098133
it,6.452836703764234
with,6.452251114887743
be,6.449457903732377
so,6.449386247820754
there,6.449324776879866
had,6.448614203160174
one,6.447839677880737
not,6.447240402331096
from,6.446985913421296
his,6.446922921059162
this,6.4459880062945025
which,6.445529170612587
an,6.444015714738882
is,6.443888605425294
by,6.4435431071706075
all,6.442980990936868
upon,6.44178843643996
were,6.439524427883424
or,6.437912239849696
i,6.431249424451892
out,6.424350542332929
could,6.423809104696057
would,6.422661259995291
been,6.422647473097355
when,6.42254897379275
who,6.422366234153987
up,6.421953736761079
they,6.418731548304262
if,6.414302561068026
some,6.410358999772685
very,6.408935867338822
into,6.408792585772974
more,6.406759028152537
man,6.405003994276372
then,6.404149326982398
them,6.402452363936337
are,6.395362198334752
long,6.395179847764066
over,6.394465501663304
what,6.394089408597096
him,6.393419753489826
we,6.389988713109459
now,6.388575929171981
down,6.37859821404912
before,6.372004053822425
said,6.369240223613235
other,6.363485272926251
should,6.362943683349374
little,6.354052993219346
time,6.352006320844374
than,6.350011863456918
only,6.349015401312887
do,6.348749230315462
will,6.34861167909114
come,6.348125075916374
can,6.3472398863414785
back,6.346339157681961
you,6.34629605469686
two,6.342598414602317
came,6.3410656006571156
my,6.340079573878702
their,6.336556518786268
has,6.33512785683449
way,6.327599468287693
such,6.326576709761597
see,6.324864705618207
well,6.324507067765835
may,6.322894984405049
face,6.322469884462532
own,6.318600413490045
how,6.316081987429204
great,6.315606819231892
about,6.311373135556735
must,6.308421818521844
like,6.298904473658816
never,6.298874127341006
any,6.298304674318434
where,6.293691052928976
these,6.293560756754397
still,6.291310451661404
through,6.290520162518657
our,6.290286591920489
made,6.290062635177396
last,6.288553030608917
after,6.285108694515034
hand,6.279275216361384
us,6.277161152842965
might,6.275770106587209
did,6.272953024404068
every,6.272930469338656
yet,6.264152173155161
here,6.262798657035405
good,6.255307383847731
first,6.2546646452292345
round,6.248524379332215
away,6.244904591751887
much,6.242612673561854
