Word,SemD
on,7.340498800148241
me,7.311504506380651
a,7.311033466356138
in,7.2048920156967196
of,7.199711697148349
was,7.199028441481834
had,7.194352363779133
is,7.186509575044728
but,7.132732608940117
he,7.118416939368193
no,7.096611392280898
over,7.076582572477636
or,7.075093736078775
as,7.07467276589541
the,7.068518431365992
at,7.065175876195631
for,7.064694285336626
long,7.063989145618057
that,7.062530900043869
and,7.062303473765612
to,7.0616712607843475
with,7.06074605380914
it,7.060674044793825
not,7.060158869823751
an,7.059477310611047
be,7.0577507626978235
hand,7.056812607071755
by,7.056788256823126
this,7.055565807588192
so,7.054734862585516
have,7.054660627485469
all,7.0543879578442805
his,7.053784891913434
i,7.053327177636955
man,7.049937226352399
when,7.048161264459809
from,7.047919375886969
one,7.047842933674139
there,7.046893179875705
moment,7.045322308557481
been,7.043985387567905
which,7.043540753150517
if,7.042109152731838
him,7.037545024836653
up,7.034640361825917
were,7.032965308831945
out,7.030093356028728
upon,7.027758464376278
very,7.023100969930865
would,7.022969173523617
place,7.022372116492944
into,7.022290409851693
what,7.019123889187433
who,7.01738009662745
more,7.016318105564577
they,7.013131298220077
do,7.011084466496572
you,7.0097299785612135
little,7.006765688510845
now,7.00098580291701
time,7.000393557350363
said,6.996439745097527
some,6.99580135499672
them,6.98858729492932
could,6.987818906677382
face,6.987013220698384
then,6.9868526848849255
than,6.984640016662322
my,6.984103187241582
down,6.979739756649463
before,6.979459822819627
air,6.975791915927927
again,6.975108857090357
about,6.970274490487951
any,6.969293617088152
are,6.96519666821214
much,6.962710253917971
other,6.961010596841724
even,6.955514369505392
such,6.954347196216246
made,6.954230125979411
being,6.952448502440311
after,6.94786231101031
know,6.945726731109681
like,6.940150270328576
put,6.939831515464319
good,6.936177403870332
way,6.935358694980787
come,6.933966729762612
great,6.931642073150341
did,6.931489486379894
say,6.9307438290021395
see,6.925793444050539
should,6.924762934504738
never,6.924389832543893
her,6.9235684290655275
here,6.922203040766728
door,6.9191494473487145
head,6.919015887863454
part,6.9182521505430605
their,6.913123037622402
