Word,SemD
on,6.654030637031091
me,6.639418107566354
a,6.634501751614698
in,6.526666874599273
was,6.5217259085317725
of,6.519817524923919
had,6.5160394089451374
is,6.508569968289258
but,6.459723854312974
he,6.441178637002492
no,6.419577905347262
long,6.415273321464405
or,6.404366924884314
over,6.4040624262172114
as,6.402842818146418
moment,6.398492703611159
hand,6.394879665124828
the,6.3943657286135585
at,6.390780516877749
for,6.390573625378383
an,6.389449333388798
that,6.388640426698028
and,6.388154120174069
not,6.387586052049915
to,6.387529018768255
with,6.386745599028628
it,6.386503931623424
so,6.384754999560115
be,6.384589345609396
i,6.384116637065531
by,6.383030258710175
have,6.382275483652205
all,6.381853070024046
this,6.381569629375928
his,6.380094543609281
man,6.379655893949356
when,6.377062505133953
there,6.37587270524399
from,6.375674314643838
if,6.374281717008779
been,6.373207309658992
one,6.372614054274829
which,6.371542429463203
him,6.368642242056028
place,6.368164076670785
up,6.364184798204629
out,6.361938430796796
what,6.360459200755818
were,6.360107689633998
upon,6.356045562092204
very,6.355635353975089
would,6.353136682484147
into,6.352498608640876
do,6.3519077356922615
more,6.350008671596468
they,6.346346906117083
who,6.3457454327131275
you,6.345137932948719
face,6.341965074746809
little,6.3399754066566505
said,6.335219016372713
now,6.334166491357127
time,6.332890962246192
air,6.328902832000139
some,6.326247010244851
my,6.325423531234284
them,6.325348666702468
could,6.323611106152769
then,6.320836571779698
than,6.320210489364247
before,6.316537987854255
again,6.31430831630737
down,6.312904944192359
about,6.3125539394341565
put,6.309899903877615
much,6.306349443344705
any,6.306320247727259
even,6.303248049300153
are,6.30306630931616
know,6.295716425973893
made,6.2954297204679355
such,6.29304547376786
other,6.291163141633759
part,6.289426784897045
being,6.288952602304031
come,6.285590412461299
after,6.284994243987074
good,6.284520923243911
way,6.282209106421512
did,6.279021519221322
like,6.278787690973445
should,6.275680199315172
say,6.274683676508587
see,6.274069551764987
never,6.272611315399124
her,6.268710781609171
door,6.267194432000383
head,6.265795964768367
great,6.263443181306492
here,6.262897110153424
too,6.26201966975834
only,6.259529393275382
well,6.25883747102776
old,6.253289510546651
we,6.244242379905139
will,6.243036966965107
two,6.241051727340424
their,6.238278356554467
away,6.238169702185588
own,6.236835266089001
first,6.23613873979246
back,6.235209706993124
might,6.232412517437168
nothing,6.225042911372364
these,6.224390615439885
without,6.221230735072694
last,6.219689595515054
how,6.219604860017852
himself,6.215415447214249
ever,6.210887279224881
think,6.210624445089926
make,6.210169665176371
another,6.20803793054554
can,6.205906679105761
eyes,6.204860307357093
where,6.203060447931992
she,6.1983259674321545
take,6.197502824690534
must,6.1969150769997805
go,6.193178780265662
your,6.19086978134514
look,6.189795470350152
came,6.186982073843978
once,6.182341338889662
point,6.181506034684147
am,6.181451749411411
looking,6.181097777348394
may,6.18033435180235
quite,6.179935263682972
same,6.179530109379019
through,6.1788647076175405
has,6.178103061019022
off,6.17793512839184
took,6.176952989681447
though,6.176430604527469
day,6.176131253578153
went,6.17104117752811
better,6.169384548762964
life,6.164465782427407
still,6.163673786661771
many,6.162866407623544
its,6.1623543389192275
mind,6.162119993556767
having,6.1600942350154755
done,6.154122890370292
while,6.153071658509115
left,6.15024111654209
looked,6.149452302497235
house,6.1484885628900505
yet,6.141886160849537
certain,6.140680255150478
hands,6.140360450025009
thought,6.139674314185071
round,6.137963723100271
most,6.1378515402345695
kind,6.134480401637349
something,6.13066713499356
course,6.128505538458571
every,6.128064023184456
question,6.1242913715548575
let,6.121974628805308
young,6.1169607706844715
possible,6.11209488375459
night,6.1102092420699075
going,6.110016215691498
just,6.107743563260502
under,6.103577232965207
gentleman,6.101963503696766
silence,6.101685723243968
those,6.096603039189598
nature,6.0964250449882424
between,6.09499725536877
heard,6.0910616936939785
always,6.089791269360485
best,6.089103573617277
seen,6.087139700494158
attention,6.086838516053202
manner,6.0833308599031515
expression,6.08292887824436
word,6.082796722183081
right,6.0820009971846
until,6.080747539664646
table,6.079683322430417
suppose,6.0789964113708175
together,6.077241418307644
anything,6.075603592352584
short,6.0727642438302585
want,6.072529232138493
far,6.0713261862259795
give,6.070337453944618
brought,6.069966104763145
indeed,6.069226255770041
both,6.066290271050484
hard,6.065379332472637
found,6.063057162214364
enough,6.061614048242825
room,6.061204431167788
rather,6.057803630257685
us,6.057171142482017
got,6.051513864979016
oh,6.050953260159841
towards,6.049259867762826
few,6.0459737640852165
words,6.045623865091636
things,6.044519666558237
men,6.040886755475603
returned,6.040227411489087
half,6.039474867299848
turned,6.0365500800650835
people,6.035761305609016
whom,6.035466265401417
heart,6.030104672294984
however,6.029729383675676
home,6.028242915002881
whole,6.027992114941613
set,6.026511941917907
against,6.025128914566798
taken,6.024396443106827
shall,6.023693099498007
find,6.021795453616533
seemed,6.018990788414588
hope,6.0187023940358895
coming,6.017087002938229
gone,6.0141218478
poor,6.013062423294775
tell,6.011588203864504
soon,6.009160497569957
open,6.007751807666656
times,6.006022976050389
almost,6.005955219247374
sat,6.005914556582634
among,6.005384775736972
saw,6.0009199335105485
name,6.000904337984368
rest,6.000768656799531
making,6.00055653497556
within,6.000452808985
perhaps,5.999295196907126
thing,5.999057930631746
cause,5.997201353777396
keep,5.996657611867636
voice,5.994992287667387
sure,5.993959511398006
world,5.991211010255536
our,5.989395199802134
conversation,5.986020770561815
gave,5.9853157433367
three,5.981992396192761
new,5.981683716897409
taking,5.979228797630669
dear,5.978692444831131
thus,5.977965637785627
full,5.976904751462831
figure,5.974089909681817
knew,5.972869444980932
light,5.972479586375547
strong,5.972162038136704
why,5.967958712265543
get,5.963066079011552
friend,5.961182214663903
close,5.959932846620753
arm,5.958413727699474
present,5.9583514636964185
minutes,5.956993548258154
passed,5.9548991742403095
began,5.9530795224178075
hear,5.953073401849229
sort,5.951152244194931
morning,5.950336282678357
second,5.948781343414418
large,5.947666927591694
alone,5.9462678252523915
near,5.944934928983353
least,5.943725801736724
stood,5.943125837886068
held,5.9404719503435235
next,5.939775747402462
state,5.939319718867564
told,5.939001542456191
known,5.938086785726124
else,5.937907743069044
side,5.934812489432344
sir,5.933604464264817
low,5.932620830848299
called,5.932305370254058
appeared,5.931704458788538
end,5.928544617362626
sight,5.927270272080738
means,5.9260155829956505
matter,5.925964434820111
turn,5.922916732330466
already,5.922886886728706
doubt,5.920245012423774
asked,5.919712794799889
since,5.917970681573459
whether,5.91775907268177
less,5.913912262372646
cried,5.912263397117283
myself,5.909014870393943
either,5.906834670657009
leave,5.906550711051134
lady,5.906259294914244
behind,5.900838533422099
hour,5.895877642624893
distance,5.890944841607965
replied,5.890627600359268
sitting,5.890319153744288
ah,5.889497275679345
fell,5.8872076772735715
believe,5.884791987812043
kept,5.8834098988333725
days,5.882445384600988
purpose,5.880983260516113
call,5.877042916995939
occasion,5.875837209008078
miss,5.875603579421349
chapter,5.874497746256103
pretty,5.872318667068308
instant,5.87150500553425
length,5.870736140458437
saying,5.870207300220822
because,5.868285885971892
show,5.867264737348433
laid,5.865932558580941
case,5.8652785560272696
turning,5.862914353917532
ready,5.862811398690184
hold,5.862461891591644
years,5.859495748056887
given,5.85947952332557
felt,5.858473129839609
care,5.857943653236695
often,5.857936554984508
whose,5.8572979910319765
small,5.856786190302784
nor,5.85648741259231
really,5.853019877807005
dark,5.850937202341871
need,5.848789615377741
help,5.848434960637603
speak,5.847206631566061
stopped,5.845834424095056
subject,5.842432245078138
doing,5.841765711281061
everything,5.84113914142485
standing,5.834677209910991
itself,5.834190204760616
son,5.8333394413378725
observed,5.832300216001348
corner,5.829053194856617
wonder,5.82714253566759
mine,5.826411128991485
each,5.8239887964488455
high,5.823816561798778
secret,5.823555208946927
bed,5.821268543092485
general,5.820166961414491
understand,5.819661598857795
dead,5.819517928991742
six,5.819410393350194
also,5.815031053272526
arms,5.814573223705441
mean,5.814488244576035
object,5.813438207425182
lay,5.811598291458187
account,5.811104648493462
reason,5.8086274187923586
ask,5.808397757507464
above,5.807445227154933
person,5.806322878947117
eye,5.805950493059258
circumstances,5.804924578304662
feeling,5.804854372237553
yes,5.804398367827138
force,5.8039321150194
bear,5.803781047871379
work,5.803229264045438
deal,5.79983748087421
usual,5.799676875443781
afterwards,5.796815525245815
interest,5.795580324878812
bring,5.794891173397133
themselves,5.793554341404813
ground,5.7931932903279355
forth,5.791570028749103
company,5.790395754675051
wish,5.790222684264821
change,5.789294920496165
true,5.7890599388686175
heaven,5.786116793240229
slowly,5.785629635770599
certainly,5.784665518328966
chair,5.783500960010298
lost,5.782903516306542
quiet,5.7797037049162165
spoke,5.779253897649836
used,5.7784136191938895
does,5.777661551315975
answer,5.777489413007278
hair,5.775630543612831
immediately,5.775591846394926
added,5.774899104878973
became,5.773513398108579
fire,5.772950913371254
business,5.772755280425476
repeated,5.772521468882391
answered,5.770681075123441
ten,5.770268519788698
feet,5.767800046093501
appearance,5.766390808417463
sound,5.764338710061453
carried,5.758787723922459
return,5.756006514414482
followed,5.755952654646646
mr,5.755296848888625
woman,5.75484325386968
particular,5.753351788194704
opinion,5.752892663522232
child,5.752554041322153
several,5.752357481705088
love,5.7521829734489165
late,5.747708528954983
creature,5.747486625188257
water,5.746608463598717
tone,5.7452676877164865
fact,5.740605271815518
cold,5.737144120392016
knows,5.7359262672243005
bad,5.7355899221004965
money,5.735261045158847
black,5.732642526049314
pleasure,5.730151179084097
talk,5.728963107016916
along,5.728667349444649
smile,5.728561882209352
opened,5.728541548873701
heavy,5.727855410902079
pleasant,5.726777275214592
idea,5.726760712026748
truth,5.7226746152436965
happy,5.721912610811154
sometimes,5.719189447167072
herself,5.717816242861328
yourself,5.717711124027852
shut,5.716737747061813
shook,5.7158088001305645
deep,5.715232117839172
character,5.712943564599029
glad,5.712896044241027
boy,5.7094699592611
met,5.704342597594902
feel,5.704014202994033
window,5.7022353332474545
lips,5.701292662739709
friends,5.700484642323659
en,5.699693860713541
street,5.699278194398922
walked,5.697624086484215
past,5.694683258456293
bright,5.688107142289216
hours,5.687238739573007
ca,5.684588058942066
father,5.683786840294368
god,5.680986400248525
regard,5.680169091455548
four,5.678404548745844
nobody,5.671976372243901
power,5.6657089154003355
fit,5.661247922062395
afraid,5.660694952193186
evening,5.660204983084659
thinking,5.659349644386421
de,5.659125954971
strange,5.65880967186079
thoughts,5.658084278319341
family,5.654876134970313
wanted,5.654772216449413
honour,5.647589119594882
five,5.647265939042888
fellow,5.6470899681356705
beautiful,5.644448101535783
remember,5.644371860976257
red,5.6438124030668355
walk,5.639440517050036
london,5.638814432270855
country,5.6279102464399795
mother,5.6272846846762254
till,5.626626068324733
tears,5.625430152996999
live,5.6175413640700524
others,5.616513483961215
rose,5.613862752272434
white,5.6115209282726095
tried,5.6062268003158895
spirit,5.599439859563423
death,5.597736976614484
eh,5.593678847830553
gentlemen,5.590813134888668
pocket,5.582852616049735
looks,5.574176703678294
hat,5.566573497776166
please,5.564117783587751
dit,5.5547052769654295
read,5.552128106726409
court,5.551252845980969
o,5.550022275608628
master,5.545986380217048
party,5.5376049095966815
die,5.537231526557979
comes,5.532073632831257
glass,5.528415121263763
wife,5.525666385216361
legs,5.518463413158031
wind,5.510225613931147
town,5.498584193200048
ai,5.497032948820002
year,5.494639057244188
hundred,5.48842462116631
public,5.485471312185178
road,5.482108180169282
children,5.478323050461108
girl,5.464351118474858
main,5.462209755115811
wall,5.462118884262883
lord,5.438016196396322
wo,5.4379287297829615
office,5.4203719590303265
des,5.396980765684881
streets,5.394388563445435
grand,5.383123886570878
inquired,5.376178958859893
married,5.360656985174391
ne,5.342910743519995
chose,5.342761986927664
se,5.32958001439387
ladies,5.322761765431634
dinner,5.317813862026119
says,5.300071742400244
la,5.2824654800488675
daughter,5.281573798239395
pas,5.271480778589303
husband,5.269917472209072
et,5.2529097485733445
brother,5.250387616991454
sister,5.231445166854018
ma,5.228093045649966
je,5.223983474189522
pour,5.219781428877756
rejoined,5.213373089698114
mrs,5.207743801042187
church,5.192897625905845
les,5.18580780689253
y,5.183832458797321
un,5.179284396283785
lui,5.177951402614184
le,5.169108776169379
du,5.165738629320663
ses,5.158573996397958
dans,5.15659727180819
par,5.154613982105021
tout,5.150397143346708
letter,5.14913581464741
si,5.148683563094628
que,5.1475009405667524
sur,5.146967319883485
qui,5.146342121746779
il,5.144763693902177
sa,5.144606276148961
au,5.144590736977783
une,5.14450615866328
ce,5.144492228811309
avec,5.143944765856345
mais,5.143897088501999
plus,5.142525410793034
bien,5.140385134726832
comme,5.140089872479591
cette,5.139552132326709
avait,5.136320610406275
n,5.130093816581216
faire,5.128144608393738
dire,5.127651338839524
sans,5.127315144354576
vous,5.126941908230211
quand,5.12326213034636
fait,5.1215570201052705
est,5.117424359315404
ces,5.11352675387312
encore,5.110581521674986
ou,5.109173008012006
cela,5.106992548938965
mon,5.103911322101224
car,5.09894526045385
aussi,5.0941370533495265
nous,5.091221007040417
