Word,SemD
watch,5.561930391120276
hair,5.558698163121579
months,5.557909069407425
shut,5.556319806208054
whether,5.549094149855532
neck,5.5379631686506
boy,5.534038189694842
week,5.531778173252289
whom,5.530054222373675
blood,5.528975722039907
mean,5.52875381854539
worth,5.52091164785953
send,5.515847822258407
doing,5.513805947390093
afraid,5.5113250122629385
wish,5.51027011856674
case,5.510166405537703
wonder,5.509533702374701
fat,5.507718602895055
father,5.505121272636242
ought,5.503050853578085
sleep,5.502520172191974
front,5.501528452177571
hours,5.501466348989865
service,5.49837910310478
wind,5.495039182999542
happened,5.494976057618671
horse,5.494777247744386
fight,5.492475174679378
body,5.490088343936009
thus,5.489790639441609
seven,5.4709840532430505
nose,5.469828954185886
son,5.468774226329408
minutes,5.467335056891952
bit,5.466369300633137
wife,5.465204778685063
pay,5.46100866545038
really,5.457793607290992
green,5.457509791147866
free,5.4530908536756
tale,5.452625797009693
pretty,5.449207561209759
drink,5.439028881960702
read,5.437897277585077
sound,5.436459426644111
north,5.434579922402532
sick,5.433102693636041
follow,5.42879556272507
wild,5.426550634284533
kill,5.4200702048446106
sometimes,5.419805193659856
bed,5.413549851983284
wo,5.412697339658025
order,5.411691536018654
angry,5.411196447404821
laugh,5.3984136699114265
shot,5.395856629050212
month,5.392718583566369
dear,5.390593616372749
killed,5.3868205591663445
arm,5.372066371690377
eat,5.371793971326198
hills,5.370415786669088
lord,5.3666395928828035
story,5.3606385692590255
ye,5.359588396621843
war,5.358809898976715
smoke,5.353914517086331
india,5.349121592652474
wall,5.348108608316401
king,5.346701779333301
brother,5.3441532391685955
england,5.32315506462845
river,5.317681806491646
fool,5.314075784120523
stone,5.2938242512175
trees,5.293173531595512
aside,5.289463283215106
company,5.285556803900917
suppose,5.277957864758312
girl,5.273749366379383
south,5.259970256636929
sir,5.256124535506867
town,5.249057745296742
gold,5.2456545141825695
song,5.234343184727832
master,5.231066968247125
hill,5.223206278231998
city,5.220566566629974
iron,5.194918995833551
government,5.193925052472107
law,5.181950203109271
art,5.151714527138561
army,5.151337739617568
horses,5.149656817797627
boys,5.147707730487627
lady,5.142491963295344
thou,5.113255422162898
native,5.084934428382213
thin,5.07719038706717
gods,5.058504671382953
village,5.055933993510767
thy,5.033550058092963
dog,5.030745894499955
ship,4.991901893355855
sahib,4.9726858326729015
thee,4.968221139955937
sword,4.939209227387499
ha,4.88022090316094
colonel,4.859148353589324
captain,4.851509327025356
regiment,4.827136168551143
miss,4.810646805602985
boat,4.799672540101352
fish,4.766522223924392
bridge,4.730792857767203
valley,4.722526778668817
ai,4.71293647720886
soldier,4.684351200842816
priest,4.681962130839784
doctor,4.679539833831405
dan,4.525815771053966
jungle,4.474071363424938
e,4.406779710560902
una,4.201819069103781
khan,4.073300356972436
kim,4.066461591878184
de,4.0270842917643614
puck,4.013024124612844
s,3.8518840645575976
dick,3.8475203701343315
t,3.7773334345987157
