Word,SemD,Word Probability
on,5.877901527857782,0.005327938357058241
a,5.876861757359971,0.01583565917081871
in,5.800333094031395,0.013381945280667168
of,5.7706130913984355,0.026124613612564126
was,5.757103258510725,0.006013868653174602
is,5.757100804761631,0.012475357260616316
me,5.7442383916554824,0.0035860032392553876
but,5.734664878130483,0.003860879718213782
the,5.693051785604251,0.04083807064451599
and,5.683031506183507,0.023047384039637693
as,5.681804464892468,0.005452767583741182
to,5.672694745388755,0.016537981183570204
no,5.664253576590643,0.002321319255790847
so,5.664064091545536,0.002489649576620873
for,5.6637178045136825,0.005516443098362279
all,5.6636362855164775,0.0027790264202949624
an,5.66234106177855,0.0021391190208849384
had,5.660901327485764,0.0034019116524300406
he,5.660893738838214,0.00799474456346652
at,5.658683132341826,0.0037133542684975795
not,5.656698668645461,0.0053708090005655145
that,5.655874694248988,0.009932749830251166
with,5.654687320497186,0.005330460159617493
it,5.654391969311062,0.008754437584440982
have,5.6542851682168465,0.004075232935750145
or,5.649502001017497,0.002386886122331381
i,5.642097049074236,0.009725331569752744
one,5.639917040115211,0.003202058799609373
be,5.639763314851995,0.004111168622219477
are,5.6345043842976565,0.003752442208165975
from,5.634134687935231,0.0027348948755080644
his,5.632751279482793,0.005814015800353935
by,5.63004456360236,0.0029851837795137584
there,5.629338205789061,0.002263317796928066
this,5.62672539965546,0.0021536193856006333
what,5.617418152391776,0.0024001255857674505
who,5.611472973456499,0.0023667117018573705
man,5.6106718673265075,0.0015868442604088976
when,5.6068623814285035,0.0016814118563808224
they,5.605195617679219,0.002843962836195684
will,5.600061363907861,0.0020975092786572913
like,5.589643713593555,0.0014859721580388445
we,5.588540122759053,0.002342754577544483
would,5.582303230929185,0.0016486284231105551
him,5.576842306216493,0.0029883360327128228
out,5.5755466388873876,0.001248292266829407
if,5.573148448621105,0.0014758849478018392
has,5.572969980848067,0.0021832505656718365
some,5.570167980619955,0.0014576018792472672
them,5.563840070677038,0.0016145840885606623
can,5.561694645699593,0.0015792788527311437
than,5.559924940858743,0.0011865081041277496
into,5.558023819795866,0.001112745379269648
do,5.55793486724745,0.0022280125610985475
more,5.557136004689852,0.0013378162576828292
which,5.552364987976481,0.0023396023243454187
over,5.54720386327699,0.000967111281472884
been,5.541504158780609,0.0014178834889390587
life,5.5393267309017045,0.0016782596031817583
great,5.536114149309321,0.0011593987266157978
were,5.528879104745026,0.001578648402091331
any,5.523824427135442,0.0011417461087010383
only,5.523672542785076,0.0009608067750747557
her,5.517046900576648,0.003055794251172796
their,5.51204474023952,0.0018541553316895384
very,5.5060723749271565,0.0013939263646261712
should,5.505615784994034,0.001195964863724942
now,5.499831899872799,0.0009198274834869216
made,5.494401726387781,0.0008025636644817349
never,5.4935505729575445,0.0010692442851225627
about,5.493081618610922,0.0012237046918767065
see,5.492275057624738,0.0007886937504058526
must,5.481027370859794,0.0009904379551459587
then,5.477300022269318,0.0008479561105482588
little,5.47684891172408,0.0010282649935347288
up,5.475388990854713,0.0009368496507618681
men,5.475310732645993,0.0009160447796480447
said,5.472190456439466,0.00138699140758823
even,5.4674455879341854,0.0005239044816844632
too,5.466745071718049,0.0007874328491262269
place,5.464412918017527,0.00037007452557013225
how,5.462802301247538,0.0008668696297426437
well,5.460612723074518,0.0007124092229885
own,5.458688682084443,0.0009103707238897292
long,5.456809090948064,0.0005182304259261477
us,5.454368263074013,0.0014374274587732566
other,5.445802105273158,0.0007659975273725906
time,5.443189279898496,0.0007395186005004518
such,5.442296176940966,0.000884522247657403
art,5.442131230557946,0.0014235575446973742
know,5.441001287231199,0.0009463064103590606
much,5.436338392243794,0.0007962591580836065
come,5.436057861821624,0.0007401490511402645
always,5.43527113447592,0.0009494586635581247
my,5.431095714804175,0.002436061272236782
make,5.421969852551863,0.0005384048464001583
most,5.420809258499864,0.0009526109167571888
world,5.420702401798507,0.0008372384496714406
its,5.4204775136194625,0.0017343697101251004
say,5.401685840651607,0.0007243877851449438
nothing,5.399687732242441,0.0006436901032489013
may,5.39501560668002,0.0009015444149323495
people,5.393616285775599,0.0008807395438185261
through,5.391131286609351,0.0007817587933679114
before,5.388173253678588,0.0005894713482249977
could,5.386694949767572,0.0007508667120170827
thing,5.382241989860495,0.0007767151882494088
down,5.3800948907310016,0.000701061111471869
our,5.379110804280866,0.0010427653582504239
you,5.377442624182569,0.00649427204071198
day,5.376195145230418,0.0006481032577275911
think,5.374417728580208,0.0007830196946475371
moment,5.373682576224908,0.00044131544786898226
did,5.372347209013303,0.0007313227421828849
good,5.371589853148077,0.0007987809606428579
ever,5.3711093446846085,0.0005030996105706397
lord,5.371093619148703,0.0020672476479462755
still,5.368205054639885,0.0005056214131298911
hand,5.366987632462502,0.0005207522284853991
things,5.357860170275239,0.0007855414972067884
yet,5.3543775119543,0.0005869495456657464
every,5.3538847688724305,0.0005825363911870566
two,5.352450345171458,0.0005232740310446504
give,5.346823742570352,0.0004898601471345703
am,5.345541838176406,0.0011827254002888725
last,5.3436350675668685,0.00047788158497812653
many,5.341775823472471,0.0005692969277509871
once,5.336183488546154,0.0005384048464001583
first,5.3300036916569935,0.0006209938802156393
after,5.328047712920333,0.0005825363911870566
himself,5.325516081748968,0.0006077544167795699
look,5.3248696098099115,0.00048796879521513184
being,5.3185642027903555,0.0005762318847889283
upon,5.3167289511609415,0.0007117787723486871
might,5.315752791091936,0.00040916246523852785
she,5.31310030702732,0.002263948247567879
love,5.303232839263129,0.0009141534277286061
really,5.302077115943743,0.0006537773134859066
those,5.300801389455106,0.0006998002101922433
back,5.288846811499352,0.0005081432156891424
quite,5.288471144680963,0.0007842805959271628
here,5.286263607025428,0.0005598401681537946
these,5.285439562395308,0.0005346221425612814
does,5.279866302101483,0.0005068823144095168
where,5.277608249653128,0.0005894713482249977
old,5.272991196578042,0.0005466007047177252
terrible,5.270937397236232,0.00031585577054622874
indeed,5.267436536588552,0.0005100345676085809
face,5.264645946560874,0.000535883043840907
though,5.2636523237422566,0.00045266355938561326
away,5.261802430713624,0.0005365134944807199
way,5.254846522701867,0.0003429651480581805
thought,5.253823811277769,0.0004986864560919499
young,5.253070328131113,0.0006380160474905858
nature,5.2477348081578,0.0005119259195280195
go,5.241534724193539,0.0006203634295758265
without,5.237432178473311,0.0003789008345275119
take,5.22360723494027,0.0003707049762099451
against,5.221778996930597,0.00034800875317668315
true,5.219889983989,0.0005182304259261477
whole,5.219399588524944,0.00042240192867459733
passion,5.217740643395193,0.00035998731533312694
tell,5.213540220683928,0.0004885992458549446
saw,5.213041030345967,0.00037953128516732477
each,5.212944052674983,0.0004287064350727256
find,5.211683524153426,0.0003442260493378062
better,5.208395566678399,0.00035935686469331415
whose,5.204143307268788,0.0004841860913762548
your,5.201317018370915,0.0013806869011901016
something,5.19975417770099,0.000491121048414196
years,5.198781599900803,0.00032783433270267253
course,5.193504190873365,0.0004394240959495438
let,5.1888645179797495,0.00046653347346149553
again,5.188422296552695,0.00036566137109144244
secret,5.187895913493837,0.00031837757310548007
house,5.185579233481338,0.00042240192867459733
beautiful,5.184520526910363,0.0005484920566371636
came,5.179335428378037,0.0005308394387224044
why,5.178812253977246,0.0004955342028928858
hands,5.17820680439416,0.0003473783025368703
merely,5.1780954023619605,0.00043501094147085397
also,5.175669383534501,0.00038772714348489154
right,5.169172982025795,0.0003473783025368703
just,5.165643777935253,0.00037574858132844775
de,5.153562453841703,0.012934325326400058
anything,5.153386372881932,0.0003442260493378062
work,5.132095139112509,0.0006903434505950508
eyes,5.1318708637003665,0.0004930124003336344
found,5.128924924090401,0.0003429651480581805
night,5.122787263539229,0.0004242932805940358
beauty,5.1216419655801735,0.0005302089880825916
point,5.120540512914954,0.0005901017988648106
whom,5.120511337698109,0.0003353997403804265
while,5.116468054968365,0.0003284647833424854
lady,5.108667974682966,0.0012356832540331504
far,5.107796569214421,0.0003587264140535013
shall,5.1055867060347415,0.0005232740310446504
white,5.0987172820527045,0.00039150984732376856
heart,5.095176154203188,0.0003429651480581805
new,5.092040689004703,0.0004432067997884208
ah,5.089627461715731,0.00039150984732376856
real,5.080282413586891,0.00032594298078323405
nor,5.073238023106318,0.0003997057056413354
because,5.071986554426118,0.00033224748718136234
want,5.070300207445892,0.0004532940100254261
rose,5.0644322904563035,0.0003253125301434212
seems,5.060228855013408,0.00034800875317668315
rather,5.057785923557404,0.0003171166718258544
told,5.052080700296099,0.00035557416085443713
age,5.050952831480379,0.00033350838846098803
woman,5.047363717101847,0.0004305977869921641
dear,5.038742233323823,0.0004539244606652389
god,5.037769647071451,0.000491121048414196
son,5.036858892627706,0.0014884939605980959
oh,5.036827854348655,0.0004476199542671106
round,5.0319698705440885,0.0003908793966839557
form,5.014467909383075,0.0004097929158783407
modern,5.011561466185574,0.0004097929158783407
gold,5.003333606467086,0.00033035613526192386
fact,4.976973083657483,0.000344856499977619
public,4.9733289435692,0.0003290952339822982
